country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,SP,Altinópolis/SP,3501004,35133,Vale das Cachoeiras,42,827,259.21126,5103.99309,0.05079,MS,2021-07-14,9,0,2021-07-14,-21.021364,-47.3712
Brazil,MA,Alto Alegre do Maranhão/MA,2100436,21007,Codó,25,1229,89.74083,4411.65913,0.02034,MS,2021-07-14,0,-2,2021-07-14,-4.2055693,-44.4525287
Brazil,MA,Alto Alegre do Pindaré/MA,2100477,21014,Santa Inês,46,2116,144.00651,6624.29953,0.02174,MS,2021-07-14,10,0,2021-07-14,-3.6698186,-45.8462153
Brazil,RO,Alto Alegre dos Parecis/RO,1100379,11005,Zona da Mata,44,1457,331.95021,10992.07846,0.0302,MS,2021-07-14,0,0,2021-07-14,-12.1314515,-61.856265
Brazil,RR,Alto Alegre/RR,1400050,14001,Centro Norte,35,1447,227.56827,9408.3225,0.02419,MS,2021-07-14,2,1,2021-07-14,2.98858,-61.307167
Brazil,RS,Alto Alegre/RS,4300554,43019,Região 19 - Botucaraí,1,203,61.99628,12585.24489,0.00493,MS,2021-07-14,1,0,2021-07-14,-31.780844700000003,-52.81311114489171
Brazil,SP,Alto Alegre/SP,3501103,35023,Consórcios do DRS II,20,367,489.23679,8977.49511,0.0545,MS,2021-07-14,0,0,2021-07-14,-21.5820592,-50.1661976
Brazil,MT,Alto Araguaia/MT,5100300,51013,Sul Matogrossense,26,1424,134.12432,7345.88599,0.01826,MS,2021-07-14,21,0,2021-07-14,-17.3156528,-53.2169365
Brazil,SC,Alto Bela Vista/SC,4200754,42010,Alto Uruguai Catarinense,3,198,155.76324,10280.37383,0.01515,MS,2021-07-14,0,0,2021-07-14,-27.4320737,-51.905771
Brazil,MT,Alto Boa Vista/MT,5100359,51009,Norte Araguaia Karajá,16,789,230.68051,11375.43253,0.02028,MS,2021-07-14,1,0,2021-07-14,-11.6723985,-51.3744431
Brazil,MG,Alto Caparaó/MG,3102050,31059,Manhuaçu,9,399,152.69766,6769.5962,0.02256,MS,2021-07-14,0,0,2021-07-14,-20.4405661,-41.8683799
Brazil,RS,Alto Feliz/RS,4300570,43026,Região 26 - Uva Vale,2,279,65.87615,9189.72332,0.00717,MS,2021-07-14,2,0,2021-07-14,-29.3785943,-51.3123751
Brazil,MT,Alto Garças/MT,5100409,51013,Sul Matogrossense,40,926,329.19101,7620.77195,0.0432,MS,2021-07-14,14,0,2021-07-14,-16.9469683,-53.529427
Brazil,GO,Alto Horizonte/GO,5200555,52014,Serra da Mesa,11,893,166.5405,13520.06056,0.01232,MS,2021-07-14,0,0,2021-07-14,-14.1954948,-49.3366993
